Code;Description;Service
2630;Fabrication de ou à base de détergents et savons;SRT-BEI
2631;Extraction par la vapeur des parfums, huiles essentielles;SRT-BRIEC
2640;Fabrication industrielle de colorants et pigments organiques, minéraux et naturels;SRT-BRIEC
2660;Fabrication industrielle ou régénération de polymères;SRT-BRIEC
2661;Transformation de polymères;SRT-BRIEC
2662;Stockage de polymères;SRT-BRIEC
2663;Stockage de pneumatiques et produits composés d'au moins 50 % de polymères;SRT-BRIEC
2670;Fabrication d'accumulateurs et piles;SRT-BSSS
2680;Mise en œuvre industrielle d'organismes génétiquement modifiés;SSEEC-BBA
2681;Mise en œuvre industrielle de micro-organismes naturels pathogènes;SSEEC-BBA
2690;Préparation de produits opothérapiques;SSEEC-BBA
27xx;Déchets;
2710;Collecte de déchets apportés par le producteur initial;SSEEC-BGD
2711;Transit, regroupement, tri ou préparation de déchets d'équipements électriques et électroniques;SSEEC-BGD
2712;Stockage, dépollution, démontage, découpage ou broyage de véhicules hors d'usage;SSEEC-BGD
2713;Transit, regroupement, tri ou préparation de métaux ou de déchets de métaux non dangereux;SSEEC-BGD
2714;Transit, regroupement, tri ou préparation de déchets non dangereux de papiers/cartons, plastiques, caoutchouc, textiles, bois;SSEEC-BGD
2715;Transit, regroupement ou tri de déchets non dangereux de verre;SSEEC-BGD
2716;Transit, regroupement, tri ou préparation de déchets non dangereux non inertes;SSEEC-BGD
2718;Transit, regroupement ou tri de déchet dangereux;SSEEC-BGD
2719;Installation temporaire de transit de déchets issus de pollutions accidentelles marines ou fluviales ou de catastrophes naturelles;SSEEC-BGD
2720;Stockage de déchets résultant de la prospection, de l'extraction, du traitement et du stockage de ressources minérales ainsi que de l'exploitation de carrières;SRT-BSSS
2730;Traitement de sous-produits d'origine animale;SSEEC-BBA
2731;Dépôt de sous-produits animaux;SSEEC-BBA
2740;Incinération de cadavres d'animaux de compagnie;SSEEC-BBA
2750;Station d'épuration collective d'eaux résiduaires industrielles;SRT-BEI
2751;Station d'épuration collective de déjections animales;SSEEC-BBA
2752;Station d'épuration mixte;SRT-BEI
2760;Stockage de déchets autres que ceux mentionnés à la rubrique 2720;SSEEC-BGD
2770;Traitement thermique de déchets dangereux;SSEEC-BGD
2771;Traitement thermique de déchets non dangereux;SSEEC-BGD
2780;Compostage de déchets non dangereux ou matière végétale;SSEEC-BGD
2781;Méthanisation de déchets non dangereux ou matière végétale;SSEEC-BGD
2782;Autres traitements biologiques de déchets non dangereux;SSEEC-BGD
2783;Déconditionnement de biodéchets;SSEEC-BGD
2790;Traitement de déchets dangereux;SSEEC-BGD
2791;Traitement de déchets non dangereux;SSEEC-BGD
2792;Traitement de déchets contenant des PCB;SSEEC-BGD
2793;Traitement de déchets d'explosifs;SRT-BRIEC
2794;Broyage de déchets verts;SSEEC-BGD
2795;Lavage de fûts, conteneurs et citernes de transport de matières alimentaires, de matières dangereuses ou de déchets dangereux;SSEEC-BGD
2797;Gestion des déchets radioactifs;SRT-MSNR
2798;Installation temporaire de transit de déchets radioactifs;SRT-MSNR
29xx;Divers;
2910;Installation de combustion;DGEC-BQA
2915;Procédés de chauffage;DGPR-BEI
2921;Refroidissement évaporatif par dispersion d'eau dans un flux d'air;DGEC-BQA
2925;Charge d'accumulateurs;SRT-BRIEC
2930;Ateliers de réparation et d'entretien de véhicules et engins à moteurs;DGPR-BEI
2931;Ateliers d'essais sur banc de moteurs à combustion interne ou à réaction, turbines;DGEC-BQA
2940;Application, cuisson, séchage de vernis, peinture, apprêt, colle, enduit, etc.;DGEC-BQA
2950;Traitement et développement des surfaces photosensibles;SRT-BEI
2960;Captage de CO2;SRT-BSSS
2970;Stockage géologique de CO2;SRT-BSSS
2971;Installation de production de chaleur ou d'électricité à partir de combustibles solides de récupération;SSEEC-BGD
2980;Installation terrestre de production d'électricité à partir de l'énergie mécanique du vent;SRT-BRIEC
3xxx;ACTIVITES « IED »;
3110;Combustion;DGEC-BQA
3120;Raffinage de pétrole et de gaz;SRT-BRIEC
3130;Production de coke;SRT-BSSS
3140;Gazéification ou liquéfaction de charbon ou autres combustibles;SRT-BRIEC
3210;Grillage ou frittage de minerai métallique;SRT-BSSS
3220;Production de fonte ou d'acier;SRT-BSSS
3230;Transformation des métaux ferreux;SRT-BSSS
3240;Exploitation de fonderies de métaux ferreux;SRT-BSSS
3250;Transformation de métaux non ferreux;SRT-BSSS
3260;Traitement de surface;SRT-BEI
3310;Production de ciment, chaux ou oxyde de magnésium;SRT-BSSS
3330;Fabrication du verre;DGEC-BQA
3340;Fusion de matières minérales;SRT-BSSS
3350;Fabrication de céramiques;SRT-BSSS
3410;Fabrication de produits chimiques organiques;SRT-BRIEC
3420;Fabrication de produits chimiques inorganiques;SRT-BRIEC
3430;Fabrication d'engrais;SRT-BRIEC
3440;Fabrication de produits phytosanitaires ou biocides;SRT-BRIEC
3450;Fabrication de produits pharmaceutiques;SRT-BRIEC
3460;Fabrication d'explosifs;SRT-BRIEC
3510;Traitement de déchets dangereux;SSEEC-BGD
3520;Incinération ou coincinération de déchets;SSEEC-BGD
3531;Élimination de déchets non dangereux;SSEEC-BGD
3532;Valorisation de déchets non dangereux;SSEEC-BGD
3540;Installation de stockage de déchets;SSEEC-BGD
3550;Stockage temporaire de déchets;SSEEC-BGD
3560;Stockage souterrain de déchets dangereux;SSEEC-BGD
3610;Fabrication de pâte à papier, papier, carton, panneaux de bois;SRT-BEI
3620;Prétraitement ou teinture de textiles;SRT-BEI
3630;Tannage des peaux;SRT-BEI
3641;Exploitation d'abattoirs;SSEEC-BBA
3642;Traitement et transformation de matières premières en vue de la fabrication de produits alimentaires;SRT-BEI
3643;Traitement et transformation du lait;SRT-BEI
3650;Élimination ou recyclage de carcasses ou de sous-produits animaux;SSEEC-BBA
3660;Élevage intensif;SSEEC-BBA
3670;Traitement de surface de matières à l'aide de solvants organiques;DGEC-BQA
3680;Fabrication de carbone;SRT-BSSS
3690;Captage des flux de CO2;SRT-BSSS
3700;Préservation du bois;SRT-BEI
3710;Traitement des eaux résiduaires;SRT-BEI
4xxx;Substances « Seveso 3 »;
4000;Substances et mélanges dangereux (définition et classification des);SRT-BRIEC
4001;Installations présentant un grand nombre de substances;SRT-BRIEC
4110;Toxicité aiguë catégorie 1;SRT-BRIEC
4120;Toxicité aiguë catégorie 2;SRT-BRIEC
4130;Toxicité aiguë catégorie 3 / inhalation.;SRT-BRIEC
4140;Toxicité aiguë catégorie 3 / orale;SRT-BRIEC
4150;Toxicité spécifique pour certains organes cibles;SRT-BRIEC
4210;Produits explosifs;SRT-BRIEC
4220;Produits explosifs (stockage de);SRT-BRIEC
4240;Produits explosibles;SRT-BRIEC
4310;Gaz inflammables catégorie 1 et 2.;SRT-BRIEC
4320;Aérosols extrêmement inflammables ou inflammables [...];SRT-BRIEC
4321;Aérosols extrêmement inflammables ou inflammables [...];SRT-BRIEC
4330;Liquides inflammables de catégorie 1;SRT-BRIEC
4331;Liquides inflammables de catégorie 2 ou catégorie 3;SRT-BRIEC
4410;Substances et mélanges autoréactifs type A ou type B;SRT-BRIEC
4411;Substances et mélanges autoréactifs type C, D, E ou F;SRT-BRIEC
4420;Peroxydes organiques type A ou type B;SRT-BRIEC
4421;Peroxydes organiques type C ou type D;SRT-BRIEC
4422;Peroxydes organiques type E ou type F;SRT-BRIEC
4430;Solides pyrophoriques catégorie 1.;SRT-BRIEC
4431;Liquides pyrophoriques catégorie 1;SRT-BRIEC
4440;Solides comburants catégorie 1, 2 ou 3;SRT-BRIEC
4441;Liquides comburants catégorie 1, 2 ou 3;SRT-BRIEC
4442;Gaz comburants catégorie 1;SRT-BRIEC
4510;Dangereux pour l'environnement aquatique 1;SRT-BRIEC
4511;Dangereux pour l'environnement aquatique 2;SRT-BRIEC
4610;Substances ou mélanges auxquels est attribuée la mention de danger EUH014;SRT-BRIEC
4620;Substances et mélanges qui, au contact de l'eau, dégagent des gaz inflammables, catégorie 1;SRT-BRIEC
4630;Substances ou mélanges auxquels est attribuée la mention de danger EUH029;SRT-BRIEC
4701;Nitrate d'ammonium.;SRT-BRIEC
4702;Engrais solides simples et composés à base de nitrate d'ammonium;SRT-BRIEC
