,Code,Description
143,2780,Compostage de déchets non dangereux ou matière végétale
144,2781,Méthanisation de déchets non dangereux ou matière végétale
145,2782,Autres traitements biologiques de déchets non dangereux
146,2783,Déconditionnement de biodéchets
147,2790,Traitement de déchets dangereux
148,2791,Traitement de déchets non dangereux
149,2792,Traitement de déchets contenant des PCB
150,2793,Traitement de déchets d'explosifs
151,2794,Broyage de déchets verts
152,2795,"Lavage de fûts, conteneurs et citernes de transport de matières alimentaires, de matières dangereuses ou de déchets dangereux"
153,2797,Gestion des déchets radioactifs
154,2798,Installation temporaire de transit de déchets radioactifs
156,2910,Installation de combustion
157,2915,Procédés de chauffage
158,2921,Refroidissement évaporatif par dispersion d'eau dans un flux d'air
159,2925,Charge d'accumulateurs
160,2930,Ateliers de réparation et d'entretien de véhicules et engins à moteurs
161,2931,"Ateliers d'essais sur banc de moteurs à combustion interne ou à réaction, turbines"
162,2940,"Application, cuisson, séchage de vernis, peinture, apprêt, colle, enduit, etc."
163,2950,Traitement et développement des surfaces photosensibles
164,2960,Captage de CO2
165,2970,Stockage géologique de CO2
166,2971,Installation de production de chaleur ou d'électricité à partir de combustibles solides de récupération
167,2980,Installation terrestre de production d'électricité à partir de l'énergie mécanique du vent
169,3110,Combustion
170,3120,Raffinage de pétrole et de gaz
171,3130,Production de coke
172,3140,Gazéification ou liquéfaction de charbon ou autres combustibles
173,3210,Grillage ou frittage de minerai métallique
174,3220,Production de fonte ou d'acier
175,3230,Transformation des métaux ferreux
176,3240,Exploitation de fonderies de métaux ferreux
177,3250,Transformation de métaux non ferreux
178,3260,Traitement de surface
179,3310,"Production de ciment, chaux ou oxyde de magnésium"
180,3330,Fabrication du verre
181,3340,Fusion de matières minérales
182,3350,Fabrication de céramiques
183,3410,Fabrication de produits chimiques organiques
184,3420,Fabrication de produits chimiques inorganiques
185,3430,Fabrication d'engrais
186,3440,Fabrication de produits phytosanitaires ou biocides
187,3450,Fabrication de produits pharmaceutiques
188,3460,Fabrication d'explosifs
189,3510,Traitement de déchets dangereux
190,3520,Incinération ou coincinération de déchets
191,3531,Élimination de déchets non dangereux
